Method	Behaviour
<code>s.islower()</code>	return <code>True</code> if <code>s</code> is lowercase
<code>s.istitle()</code>	return <code>True</code> if <code>str</code> is title cased (<code>'Hello World'</code>)
<code>s.isupper()</code>	return <code>True</code> if <code>str</code> is uppercase
<code>s.startswith(s2)</code>	return <code>True</code> if <code>str</code> starts with <code>s2</code>
<code>s.endswith(s2)</code>	return <code>True</code> if <code>str</code> ends with <code>s2</code>
<code>s.isalnum()</code>	return <code>True</code> if <code>str</code> is alphanumeric (A-Z, a-z, 0-9, no white spaces)
<code>s.isalpha()</code>	return <code>True</code> if <code>str</code> is alphabetic (A-Z, a-z, no white spaces)
