Method	Behaviour
<code>s.index(s2, i, j)</code>	Index of first occurrence of <code>s2</code> in <code>s</code> after index i and before index j
<code>s.rindex(s2)</code>	Return highest index of <code>s2</code> in s (raise <code>ValueError</code> if not found)
<code>s.find(s2)</code>	Find and return lowest index of <code>s2</code> in <code>s</code>
<code>s.rfind(s2)</code>	Return highest index of <code>s2</code> in <code>s</code>
