Operator	Operation
<code class="language-python">+</code>	addition
<code class="language-python">-</code>	subtraction
<code class="language-python">*</code>	multiplication
<code class="language-python">/</code>	division
<code class="language-python">//</code>	integer division
<code class="language-python">%</code>	modulo operator
<code class="language-python">**</code>	power of
