Expressions	Operators
function call, slicing sequence	<code class="language-python">func(), sequence[]</code>
exponentiation	<code class="language-python">**</code>
multiplication, division	<code class="language-python">*, /, //, %</code>
addition, subtraction	<code class="language-python">+, -</code>
comparisons	<code class="language-python">is, is not, ==, !=, , >=</code>
logical not	<code class="language-python">not</code>
logical and	<code class="language-python">and</code>
logical or	<code class="language-python">or</code>
assignments	<code class="language-python">=, +=, -=, /=, *=</code>
